Season,Team,TeamsByYear,HR,R,RBI,SB,BB,K,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2022,LAD,2022LAD,212,847,812,98,0.097,0.22,0.185,0.302,0.257,0.333,0.442,0.337,119,19.9,158.9,1.1,38.9
2022,NYY,2022NYY,254,807,764,102,0.101,0.225,0.185,0.276,0.241,0.325,0.426,0.327,115,-5.7,98.5,39.5,35.1
2022,STL,2022STL,197,772,739,95,0.087,0.199,0.168,0.289,0.252,0.325,0.42,0.326,114,4.7,102.5,2.9,32.8
2022,NYM,2022NYM,171,772,735,62,0.083,0.197,0.153,0.302,0.259,0.332,0.412,0.326,116,-10.8,103.4,-12.8,31.3
2022,TOR,2022TOR,200,775,756,67,0.081,0.202,0.168,0.305,0.264,0.329,0.431,0.331,117,-10.5,110.7,-10.2,31.1
2022,HOU,2022HOU,214,737,715,83,0.087,0.195,0.176,0.278,0.248,0.319,0.424,0.324,112,-8.9,75,13.2,29.5
2022,ATL,2022ATL,243,789,753,87,0.077,0.246,0.19,0.303,0.253,0.317,0.443,0.33,111,9.7,85,-14.7,28.9
2022,MIL,2022MIL,219,725,703,96,0.094,0.239,0.174,0.279,0.235,0.315,0.409,0.317,103,5.6,30.5,-4.7,24.3
2022,SEA,2022SEA,197,690,664,83,0.097,0.228,0.16,0.272,0.23,0.315,0.39,0.311,107,-10,38.1,-14.3,23
2022,CLE,2022CLE,127,698,662,119,0.073,0.182,0.129,0.294,0.254,0.316,0.383,0.306,99,13.2,3.8,6.2,21.7
2022,PHI,2022PHI,205,747,719,105,0.079,0.224,0.169,0.299,0.253,0.317,0.422,0.322,106,9.9,50.8,-50,21.6
2022,SDP,2022SDP,153,705,682,49,0.093,0.215,0.141,0.289,0.241,0.318,0.382,0.308,102,3.9,17.7,-22.8,21.3
2022,MIN,2022MIN,178,696,668,38,0.085,0.221,0.153,0.295,0.248,0.317,0.401,0.315,107,-20.7,25.1,-19,21.1
2022,TBR,2022TBR,139,666,634,95,0.083,0.232,0.138,0.295,0.239,0.309,0.377,0.302,101,4,12.9,-15.4,19.8
2022,ARI,2022ARI,173,702,658,104,0.088,0.222,0.155,0.272,0.23,0.304,0.385,0.303,92,25.4,-27.5,13.1,19.8
2022,BAL,2022BAL,171,674,639,95,0.079,0.23,0.154,0.284,0.236,0.305,0.39,0.305,99,12,2.6,-14.8,18.9
2022,TEX,2022TEX,198,707,670,128,0.076,0.24,0.157,0.287,0.239,0.301,0.395,0.305,98,18.8,5,-16.7,18.9
2022,BOS,2022BOS,155,735,704,52,0.078,0.223,0.152,0.313,0.258,0.321,0.409,0.319,102,-11.6,3.8,-28.3,18
2022,CHC,2022CHC,159,657,620,111,0.083,0.238,0.148,0.294,0.238,0.311,0.387,0.307,97,-1.8,-19.5,-35.6,15.7
2022,SFG,2022SFG,183,716,683,64,0.093,0.239,0.156,0.284,0.234,0.315,0.39,0.311,101,3,12.8,-69.5,15.7
2022,CHW,2022CHW,149,686,654,58,0.063,0.207,0.131,0.304,0.256,0.31,0.387,0.306,99,-3,-12.7,-36.9,15.3
2022,LAA,2022LAA,190,623,600,77,0.075,0.257,0.157,0.289,0.233,0.297,0.39,0.3,93,-0.8,-47.5,-29.4,11.9
2022,KCR,2022KCR,138,640,613,104,0.077,0.214,0.136,0.293,0.244,0.306,0.38,0.302,93,2.2,-48.7,-40.6,10.7
2022,MIA,2022MIA,144,586,554,122,0.073,0.24,0.133,0.284,0.23,0.294,0.363,0.29,88,-2.6,-84.2,-15.4,10.6
2022,OAK,2022OAK,137,568,537,78,0.074,0.237,0.13,0.264,0.216,0.281,0.346,0.277,84,1.4,-105,-16.2,6.9
2022,COL,2022COL,149,698,669,45,0.074,0.218,0.144,0.307,0.254,0.315,0.398,0.312,86,-2.6,-102,-38.6,6.8
2022,PIT,2022PIT,158,591,555,90,0.08,0.253,0.141,0.277,0.222,0.291,0.364,0.289,84,6.9,-101.6,-32.9,6.8
2022,WSN,2022WSN,136,603,579,75,0.074,0.204,0.129,0.295,0.249,0.31,0.377,0.303,93,-25.2,-75.4,-68.4,6.1
2022,CIN,2022CIN,156,648,618,58,0.076,0.239,0.137,0.29,0.235,0.304,0.372,0.299,84,-15.6,-123.7,-28.4,5.2
2022,DET,2022DET,110,557,530,47,0.065,0.241,0.115,0.29,0.231,0.286,0.346,0.279,81,-8.6,-133.2,-29.7,2.5
2021,HOU,2021HOU,221,863,834,53,0.09,0.194,0.177,0.303,0.267,0.339,0.444,0.336,114,-6.2,104.5,19,33.8
2021,TBR,2021TBR,222,857,810,88,0.094,0.248,0.186,0.294,0.243,0.321,0.429,0.322,109,11.2,81.1,23.6,31.7
2021,SFG,2021SFG,241,804,768,66,0.097,0.236,0.191,0.295,0.249,0.329,0.44,0.329,107,-6.4,46,55.4,31
2021,TOR,2021TOR,262,846,816,81,0.082,0.201,0.2,0.296,0.266,0.33,0.466,0.34,112,2.8,95.1,-4.6,29.8
2021,LAD,2021LAD,237,830,799,65,0.098,0.226,0.185,0.284,0.244,0.33,0.429,0.327,105,9.3,48.9,31.2,29
2021,STL,2021STL,198,706,678,89,0.08,0.223,0.168,0.287,0.244,0.313,0.412,0.312,97,11.7,-13.4,66.8,25.6
2021,OAK,2021OAK,199,743,698,88,0.089,0.221,0.168,0.278,0.238,0.317,0.406,0.313,103,11.8,34.4,2.7,24.5
2021,ATL,2021ATL,239,790,762,59,0.091,0.24,0.191,0.288,0.244,0.319,0.435,0.323,99,5.4,-6.3,42.8,24
2021,CHW,2021CHW,190,796,757,57,0.096,0.228,0.166,0.31,0.256,0.336,0.422,0.329,108,-0.9,59.7,-35.7,23.1
2021,BOS,2021BOS,219,829,783,40,0.084,0.226,0.188,0.309,0.261,0.328,0.449,0.333,106,-4.4,39,-29.8,21.8
2021,NYM,2021NYM,176,636,604,54,0.085,0.238,0.152,0.291,0.239,0.315,0.391,0.307,96,-13.5,-41.7,60.8,21.6
2021,MIN,2021MIN,228,729,690,54,0.086,0.231,0.182,0.282,0.241,0.314,0.423,0.318,102,-3.1,14.5,-9.5,21.2
2021,SDP,2021SDP,180,729,695,110,0.096,0.216,0.159,0.287,0.242,0.321,0.401,0.312,98,0.7,-17.7,23.1,21.1
2021,WSN,2021WSN,182,724,686,56,0.094,0.213,0.159,0.307,0.258,0.337,0.417,0.326,101,-25.4,-15.3,8.8,19.9
2021,MIL,2021MIL,194,738,700,82,0.096,0.24,0.163,0.283,0.233,0.317,0.396,0.31,92,8.5,-52.2,37.1,19
2021,PHI,2021PHI,198,734,700,77,0.093,0.23,0.168,0.286,0.24,0.318,0.408,0.313,93,7.8,-46,27.4,18.6
2021,CHC,2021CHC,210,705,672,86,0.084,0.267,0.171,0.296,0.237,0.312,0.407,0.311,94,-8.6,-58,28.7,17.2
2021,CIN,2021CIN,222,786,756,36,0.09,0.231,0.182,0.296,0.249,0.328,0.431,0.327,97,-15.1,-40.3,-2.2,16.5
2021,NYY,2021NYY,222,711,666,63,0.102,0.245,0.169,0.285,0.237,0.322,0.407,0.317,101,-15.1,-4.5,-37.5,16.4
2021,CLE,2021CLE,203,717,686,109,0.077,0.235,0.169,0.282,0.238,0.303,0.407,0.306,93,7.4,-42.1,3.8,16.3
2021,KCR,2021KCR,163,686,647,124,0.07,0.21,0.147,0.292,0.249,0.306,0.396,0.304,88,13.2,-72.5,0.5,13.2
2021,SEA,2021SEA,199,697,673,64,0.089,0.248,0.159,0.273,0.226,0.303,0.385,0.3,94,-7.1,-53.9,-28,12.3
2021,MIA,2021MIA,158,623,594,106,0.076,0.262,0.139,0.296,0.233,0.298,0.372,0.291,83,0.4,-130.7,52.2,12.1
2021,TEX,2021TEX,167,625,598,106,0.073,0.232,0.143,0.28,0.232,0.294,0.375,0.291,83,-1.8,-124.2,40.9,11.9
2021,LAA,2021LAA,190,723,691,79,0.077,0.232,0.162,0.294,0.245,0.31,0.407,0.308,93,6.8,-43.7,-45.4,11.6
2021,COL,2021COL,182,739,709,76,0.082,0.226,0.165,0.299,0.249,0.317,0.414,0.315,81,12.4,-133.5,44.3,11.3
2021,ARI,2021ARI,144,679,644,43,0.087,0.238,0.146,0.295,0.236,0.309,0.382,0.301,85,6.6,-113.2,15.7,10.9
2021,DET,2021DET,179,697,675,88,0.082,0.253,0.158,0.3,0.242,0.308,0.399,0.306,94,1.2,-41.2,-57.3,10.5
2021,PIT,2021PIT,124,609,570,60,0.088,0.222,0.128,0.29,0.236,0.309,0.364,0.294,82,-3.9,-143.4,14.1,7.2
