teamsbyyear,games_played,win_percentage,homeruns,rbi,iso,babip,avg,obp,slg,woba,wrc,war
2022LAD,162,0.69,212,812,0.185,0.302,0.257,0.333,0.442,0.337,119,38.9
2022NYY,162,0.61,254,764,0.185,0.276,0.241,0.325,0.426,0.327,115,35.1
2022STL,162,0.57,197,739,0.168,0.289,0.252,0.325,0.42,0.326,114,32.8
2022NYM,162,0.62,171,735,0.153,0.302,0.259,0.332,0.412,0.326,116,31.3
2022TOR,162,0.57,200,756,0.168,0.305,0.264,0.329,0.431,0.331,117,31.1
2022HOU,162,0.65,214,715,0.176,0.278,0.248,0.319,0.424,0.324,112,29.5
2022ATL,162,0.62,243,753,0.19,0.303,0.253,0.317,0.443,0.33,111,28.9
2022MIL,162,0.53,219,703,0.174,0.279,0.235,0.315,0.409,0.317,103,24.3
2022SEA,162,0.5,197,664,0.16,0.272,0.23,0.315,0.39,0.311,107,23
2022CLE,162,0.57,127,662,0.129,0.294,0.254,0.316,0.383,0.306,99,21.7
2022PHI,162,0.54,205,719,0.169,0.299,0.253,0.317,0.422,0.322,106,21.6
2022SDP,162,0.55,153,682,0.141,0.289,0.241,0.318,0.382,0.308,102,21.3
2022MIN,162,0.48,178,668,0.153,0.295,0.248,0.317,0.401,0.315,107,21.1
2022TBR,162,0.53,139,634,0.138,0.295,0.239,0.309,0.377,0.302,101,19.8
2022ARI,162,0.46,173,658,0.155,0.272,0.23,0.304,0.385,0.303,92,19.8
2022BAL,162,0.51,171,639,0.154,0.284,0.236,0.305,0.39,0.305,99,18.9
2022TEX,162,0.42,198,670,0.157,0.287,0.239,0.301,0.395,0.305,98,18.9
2022BOS,162,0.48,155,704,0.152,0.313,0.258,0.321,0.409,0.319,102,18
2022CHC,162,0.46,159,620,0.148,0.294,0.238,0.311,0.387,0.307,97,15.7
2022SFG,162,0.56,183,683,0.156,0.284,0.234,0.315,0.39,0.311,101,15.7
2022CHW,162,0.5,149,654,0.131,0.304,0.256,0.31,0.387,0.306,99,15.3
2022LAA,162,0.45,190,600,0.157,0.289,0.233,0.297,0.39,0.3,93,11.9
2022KCR,162,0.4,138,613,0.136,0.293,0.244,0.306,0.38,0.302,93,10.7
2022MIA,162,0.43,144,554,0.133,0.284,0.23,0.294,0.363,0.29,88,10.6
2022OAK,162,0.37,137,537,0.13,0.264,0.216,0.281,0.346,0.277,84,6.9
2022COL,162,0.42,149,669,0.144,0.307,0.254,0.315,0.398,0.312,86,6.8
2022PIT,162,0.38,158,555,0.141,0.277,0.222,0.291,0.364,0.289,84,6.8
2022WSN,162,0.34,136,579,0.129,0.295,0.249,0.31,0.377,0.303,93,6.1
2022CIN,162,0.38,156,618,0.137,0.29,0.235,0.304,0.372,0.299,84,5.2
2022DET,162,0.41,110,530,0.115,0.29,0.231,0.286,0.346,0.279,81,2.5
2021HOU,162,0.59,221,834,0.177,0.303,0.267,0.339,0.444,0.336,114,33.8
2021TBR,162,0.62,222,810,0.186,0.294,0.243,0.321,0.429,0.322,109,31.7
2021SFG,162,0.56,241,768,0.191,0.295,0.249,0.329,0.44,0.329,107,31
