"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2019","HOU","2309","6394","288","920","891","67","10.1%","18.2%",".221",".296",".274",".352",".495",".355","","124","-9.5","187.8","15.1","42.1"
"2022","LAD","2326","6247","212","847","812","98","9.7%","22.0%",".185",".302",".257",".333",".442",".337","","119","19.9","158.9","1.1","38.9"
"2017","HOU","2313","6271","238","896","854","98","8.1%","17.3%",".196",".309",".282",".346",".478",".349","","121","-0.4","162.6","2.6","37.3"
"2011","NYY","2301","6306","222","867","836","147","9.9%","18.0%",".181",".292",".263",".343",".444",".345","","113","6.6","101.6","39.7","37.0"
"2015","TOR","2337","6231","232","891","852","88","9.1%","18.5%",".188",".298",".269",".340",".457",".344","","117","11.0","135.9","6.6","36.7"
"2011","BOS","2269","6414","203","875","842","102","9.0%","17.3%",".181",".314",".280",".349",".461",".352","","117","-12.2","114.3","16.2","36.3"
"2013","BOS","2264","6382","178","853","819","123","9.1%","20.5%",".169",".329",".277",".349",".446",".347","","114","13.3","116.7","11.9","36.2"
"2016","CHC","2332","6335","199","808","767","66","10.4%","21.1%",".173",".302",".256",".343",".429",".333","","106","17.3","61.3","92.0","36.1"
"2010","CIN","2370","6285","188","790","761","93","8.3%","19.4%",".164",".314",".272",".338",".436",".340","","106","12.7","57.2","96.8","35.7"
"2022","NYY","2342","6172","254","807","764","102","10.1%","22.5%",".185",".276",".241",".325",".426",".327","","115","-5.7","98.5","39.5","35.1"
"2009","TBR","2345","6223","199","803","765","194","10.3%","19.7%",".177",".303",".263",".343",".439",".342","","109","21.6","90.5","41.8","35.1"
"2018","LAD","2574","6358","235","804","756","75","10.2%","22.6%",".191",".294",".250",".333",".442",".333","","111","11.4","99.3","37.8","34.4"
"2019","LAD","2413","6281","279","886","861","57","9.7%","21.6%",".215",".291",".257",".338",".472",".338","","110","11.9","92.5","59.1","34.2"
"2008","STL","2396","6370","174","779","744","73","9.1%","15.5%",".152",".312",".281",".350",".433",".342","","107","-10.0","46.4","90.6","34.0"
"2011","TEX","2186","6261","210","855","807","143","7.6%","14.9%",".177",".304",".283",".340",".460",".347","","112","20.6","107.4","5.3","33.9"
"2009","NYY","2369","6449","244","915","881","111","10.3%","15.7%",".194",".306",".283",".362",".478",".365","","117","0.2","137.5","-25.5","33.8"
"2012","LAA","2267","6121","187","767","732","134","7.3%","18.2%",".159",".311",".274",".332",".433",".331","","113","13.5","109.8","5.9","33.8"
"2021","HOU","2319","6291","221","863","834","53","9.0%","19.4%",".177",".303",".267",".339",".444",".336","","114","-6.2","104.5","19.0","33.8"
"2012","NYY","2367","6231","245","804","774","93","9.1%","18.9%",".188",".293",".265",".337",".453",".342","","113","2.3","97.2","12.1","33.6"
"2008","BOS","2293","6402","173","845","807","120","10.1%","16.7%",".168",".315",".280",".358",".447",".351","","110","-4.7","72.2","35.4","32.9"
"2022","STL","2355","6165","197","772","739","95","8.7%","19.9%",".168",".289",".252",".325",".420",".326","","114","4.7","102.5","2.9","32.8"
"2008","PHI","2396","6273","214","799","762","136","9.3%","17.8%",".182",".283",".255",".332",".438",".334","","98","23.6","4.7","123.4","32.8"
"2018","BOS","2345","6302","208","876","829","125","9.0%","19.9%",".185",".309",".268",".339",".453",".340","","111","-5.1","74.1","28.4","32.5"
"2016","BOS","2284","6320","208","878","836","83","8.8%","18.4%",".179",".320",".282",".348",".461",".346","","113","10.6","109.9","-9.0","32.4"
"2018","HOU","2348","6146","205","797","763","71","9.2%","19.5%",".170",".289",".255",".329",".425",".327","","110","-7.0","64.6","39.3","32.1"
"2009","PHI","2285","6338","224","820","788","119","9.3%","18.2%",".189",".286",".258",".334",".447",".339","","103","20.0","42.5","78.4","32.0"
"2014","LAD","2364","6231","134","718","686","138","8.3%","20.0%",".140",".318",".265",".333",".406",".327","","112","-0.4","81.4","20.3","31.8"
"2021","TBR","2389","6213","222","857","810","88","9.4%","24.8%",".186",".294",".243",".321",".429",".322","","109","11.2","81.1","23.6","31.7"
"2019","MIN","2320","6392","307","939","906","28","8.2%","20.9%",".224",".300",".270",".338",".494",".347","","116","-8.4","125.4","-31.1","31.6"
"2014","PIT","2362","6224","156","682","659","104","8.4%","20.0%",".145",".307",".259",".330",".404",".325","","108","3.8","61.6","36.7","31.4"
"2022","NYM","2340","6176","171","772","735","62","8.3%","19.7%",".153",".302",".259",".332",".412",".326","","116","-10.8","103.4","-12.8","31.3"
"2010","NYY","2313","6379","201","859","823","103","10.4%","17.8%",".169",".300",".267",".350",".436",".346","","112","12.1","101.5","-24.8","31.2"
"2022","TOR","2445","6158","200","775","756","67","8.1%","20.2%",".168",".305",".264",".329",".431",".331","","117","-10.5","110.7","-10.2","31.1"
"2021","SFG","2597","6196","241","804","768","66","9.7%","23.6%",".191",".295",".249",".329",".440",".329","","107","-6.4","46.0","55.4","31.0"
"2019","NYY","2312","6245","306","943","904","55","9.1%","23.0%",".222",".306",".267",".339",".490",".346","","117","-0.8","132.5","-40.5","30.8"
"2010","TBR","2361","6270","160","802","769","172","10.7%","20.6%",".156",".293",".247",".333",".403",".326","","106","37.6","78.5","-3.2","30.7"
