Season,Team,TeamsByYear,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
2022,LAD,2022LAD,2326,6247,212,847,812,98,9.70%,22.00%,0.185,0.302,0.257,0.333,0.442,0.337,119,19.9,158.9,1.1,38.9
2022,NYY,2022NYY,2342,6172,254,807,764,102,10.10%,22.50%,0.185,0.276,0.241,0.325,0.426,0.327,115,-5.7,98.5,39.5,35.1
2022,STL,2022STL,2355,6165,197,772,739,95,8.70%,19.90%,0.168,0.289,0.252,0.325,0.42,0.326,114,4.7,102.5,2.9,32.8
2022,NYM,2022NYM,2340,6176,171,772,735,62,8.30%,19.70%,0.153,0.302,0.259,0.332,0.412,0.326,116,-10.8,103.4,-12.8,31.3
2022,TOR,2022TOR,2445,6158,200,775,756,67,8.10%,20.20%,0.168,0.305,0.264,0.329,0.431,0.331,117,-10.5,110.7,-10.2,31.1
2022,HOU,2022HOU,2279,6054,214,737,715,83,8.70%,19.50%,0.176,0.278,0.248,0.319,0.424,0.324,112,-8.9,75,13.2,29.5
2022,ATL,2022ATL,2259,6082,243,789,753,87,7.70%,24.60%,0.19,0.303,0.253,0.317,0.443,0.33,111,9.7,85,-14.7,28.9
2022,MIL,2022MIL,2363,6122,219,725,703,96,9.40%,23.90%,0.174,0.279,0.235,0.315,0.409,0.317,103,5.6,30.5,-4.7,24.3
2022,SEA,2022SEA,2383,6117,197,690,664,83,9.70%,22.80%,0.16,0.272,0.23,0.315,0.39,0.311,107,-10,38.1,-14.3,23
2022,CLE,2022CLE,2338,6163,127,698,662,119,7.30%,18.20%,0.129,0.294,0.254,0.316,0.383,0.306,99,13.2,3.8,6.2,21.7
2022,PHI,2022PHI,2327,6077,205,747,719,105,7.90%,22.40%,0.169,0.299,0.253,0.317,0.422,0.322,106,9.9,50.8,-50,21.6
2022,SDP,2022SDP,2323,6175,153,705,682,49,9.30%,21.50%,0.141,0.289,0.241,0.318,0.382,0.308,102,3.9,17.7,-22.8,21.3
2022,MIN,2022MIN,2422,6113,178,696,668,38,8.50%,22.10%,0.153,0.295,0.248,0.317,0.401,0.315,107,-20.7,25.1,-19,21.1
